time,open,high,low,close,signal,SMA:10,SMA:2,10-2 crossover,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,
2018-02-05T02:40:00.000,1.24463,1.24486,1.24456,1.24467,-1.0,1.244881,1.24466,-2.2099999999980469E-4,0.6692307692308428,0.5153846153847153,0.06153846153851935,0.2923076923077107,0.4076923076923918,0.4615384615385535,0.31538461538461277,0.2076923076922893,0.14615384615394075,0.1615384615384852,
2018-02-05T02:42:00.000,1.2447,1.24493,1.24461,1.24486,-1.0,1.244834,1.2447650000000001,-6.899999999987472E-5,0.5153846153847153,0.06153846153851935,0.2923076923077107,0.4076923076923918,0.4615384615385535,0.31538461538461277,0.2076923076922893,0.14615384615394075,0.1615384615384852,0.30769230769242595,
2018-02-05T02:44:00.000,1.24485,1.24528,1.24484,1.24519,1.0,1.24484,1.245025,1.8500000000010175E-4,0.09756097560984855,0.46341463414637446,0.6463414634147728,0.7317073170733226,0.5,0.3292682926829004,0.23170731707332265,0.2560975609756494,0.48780487804897205,0.8902439024391234,
2018-02-05T02:46:00.000,1.24517,1.24517,1.24464,1.2447,1.0,1.244856,1.244945,8.900000000000574E-5,0.46341463414637446,0.6463414634147728,0.7317073170733226,0.5,0.3292682926829004,0.23170731707332265,0.2560975609756494,0.48780487804897205,0.8902439024391234,0.2926829268292749,
2018-02-05T02:48:00.000,1.24467,1.24489,1.24446,1.24448,-1.0,1.24482,1.24459,-2.2999999999995246E-4,0.6463414634147728,0.7317073170733226,0.5,0.3292682926829004,0.23170731707332265,0.2560975609756494,0.48780487804897205,0.8902439024391234,0.2926829268292749,0.024390243902597534,
2018-02-05T02:50:00.000,1.24446,1.24447,1.24408,1.24434,-1.0,1.244755,1.24441,-3.450000000000397E-4,0.8166666666667407,0.6583333333332778,0.5416666666665741,0.4750000000000185,0.49166666666661113,0.650000000000074,0.9250000000000556,0.5166666666665927,0.3333333333333333,0.21666666666662965,
2018-02-05T02:52:00.000,1.24434,1.24454,1.24427,1.24439,-1.0,1.244688,1.2443650000000002,-3.229999999998512E-4,0.6583333333332778,0.5416666666665741,0.4750000000000185,0.49166666666661113,0.650000000000074,0.9250000000000556,0.5166666666665927,0.3333333333333333,0.21666666666662965,0.25833333333338887,
2018-02-05T02:54:00.000,1.24438,1.24452,1.24425,1.24428,-1.0,1.244629,1.244335,-2.9400000000001647E-4,0.5416666666665741,0.4750000000000185,0.49166666666661113,0.650000000000074,0.9250000000000556,0.5166666666665927,0.3333333333333333,0.21666666666662965,0.25833333333338887,0.16666666666666666,
2018-02-05T02:56:00.000,1.24431,1.24462,1.2443,1.24457,-1.0,1.244613,1.2444250000000001,-1.8799999999985495E-4,0.4750000000000185,0.49166666666661113,0.650000000000074,0.9250000000000556,0.5166666666665927,0.3333333333333333,0.21666666666662965,0.25833333333338887,0.16666666666666666,0.4083333333332778,
2018-02-05T02:58:00.000,1.24456,1.24457,1.24407,1.24414,-1.0,1.244562,1.244355,-2.069999999998462E-4,0.495867768595014,0.6528925619835636,0.925619834710803,0.5206611570247464,0.33884297520664797,0.22314049586777465,0.2644628099174509,0.17355371900830996,0.413223140495845,0.05785123966943665,
2018-02-05T03:00:00.000,1.24412,1.24465,1.24392,1.24433,-1.0,1.244528,1.244235,-2.9300000000009874E-4,0.691176470588341,0.9338235294118223,0.5735294117646963,0.41176470588242975,0.30882352941182234,0.3455882352942521,0.2647058823530372,0.47794117647060747,0.16176470588242978,0.3014705882353037,
2018-02-05T03:02:00.000,1.24435,1.24485,1.24434,1.24442,-1.0,1.244484,1.244375,-1.0899999999991472E-4,0.9338235294118223,0.5735294117646963,0.41176470588242975,0.30882352941182234,0.3455882352942521,0.2647058823530372,0.47794117647060747,0.16176470588242978,0.3014705882353037,0.3676470588236447,
2018-02-05T03:04:00.000,1.24444,1.24487,1.2444,1.24468,1.0,1.244433,1.24455,1.1700000000014477E-4,0.6239999999999047,0.4480000000000227,0.33600000000001706,0.3760000000000952,0.28800000000006537,0.5199999999999503,0.1760000000000597,0.3279999999999659,0.4000000000000711,0.6079999999999801,
2018-02-05T03:06:00.000,1.2447,1.24478,1.24406,1.2443,1.0,1.244393,1.2444899999999999,9.69999999997917E-5,0.5773195876289038,0.4329896907216778,0.4845360824743566,0.37113402061864637,0.6701030927834509,0.22680412371142045,0.42268041237109627,0.5154639175258723,0.7835051546391611,0.3917525773195806,
2018-02-05T03:08:00.000,1.24432,1.24488,1.24431,1.24449,0.0,1.244394,1.244395,9.999999999177334E-7,0.43750000000005784,0.4895833333334972,0.37500000000011563,0.6770833333333237,0.22916666666676305,0.4270833333333237,0.5208333333334683,0.7916666666667053,0.39583333333335263,0.5937500000001446,
2018-02-05T03:10:00.000,1.24446,1.24483,1.24445,1.2446,1.0,1.24442,1.244545,1.2499999999993072E-4,0.4895833333334972,0.37500000000011563,0.6770833333333237,0.22916666666676305,0.4270833333333237,0.5208333333334683,0.7916666666667053,0.39583333333335263,0.5937500000001446,0.7083333333332947,
2018-02-05T03:12:00.000,1.24461,1.24511,1.24457,1.24486,1.0,1.244467,1.2447300000000001,2.6300000000012425E-4,0.3025210084034711,0.5462184873949799,0.18487394957991973,0.3445378151260614,0.4201680672270225,0.6386554621849398,0.3193277310924699,0.47899159663879814,0.5714285714285714,0.7899159663866754,
2018-02-05T03:14:00.000,1.24489,1.2449,1.24421,1.24422,1.0,1.244461,1.2445400000000002,7.900000000016227E-5,0.5462184873949799,0.18487394957991973,0.3445378151260614,0.4201680672270225,0.6386554621849398,0.3193277310924699,0.47899159663879814,0.5714285714285714,0.7899159663866754,0.2521008403362881,
2018-02-05T03:16:00.000,1.24423,1.24438,1.24407,1.24424,-1.0,1.244428,1.24423,-1.980000000001425E-4,0.18487394957991973,0.3445378151260614,0.4201680672270225,0.6386554621849398,0.3193277310924699,0.47899159663879814,0.5714285714285714,0.7899159663866754,0.2521008403362881,0.2689075630252869,
2018-02-05T03:18:00.000,1.24424,1.2446,1.24424,1.24452,-1.0,1.244466,1.24438,-8.60000000000305E-5,0.3445378151260614,0.4201680672270225,0.6386554621849398,0.3193277310924699,0.47899159663879814,0.5714285714285714,0.7899159663866754,0.2521008403362881,0.2689075630252869,0.5042016806723897,
2018-02-05T03:20:00.000,1.24452,1.24466,1.24415,1.24425,-1.0,1.244458,1.244385,-7.299999999998974E-5,0.3428571428572758,0.5904761904762549,0.2285714285714467,0.40952380952395656,0.5142857142857022,0.7619047619048929,0.15238095238110544,0.1714285714286379,0.43809523809536094,0.18095238095250984,
2018-02-05T03:22:00.000,1.24424,1.24467,1.24416,1.24462,0.0,1.244478,1.2444350000000002,-4.2999999999793204E-5,0.5904761904762549,0.2285714285714467,0.40952380952395656,0.5142857142857022,0.7619047619048929,0.15238095238110544,0.1714285714286379,0.43809523809536094,0.18095238095250984,0.5333333333334461,
2018-02-05T03:24:00.000,1.24462,1.24521,1.24457,1.24515,1.0,1.244525,1.244885,3.5999999999991594E-4,0.20869565217393152,0.37391304347839854,0.46956521739129764,0.6956521739131694,0.13913043478274972,0.1565217391304969,0.4000000000001159,0.16521739130446703,0.48695652173923787,0.9478260869565653,
2018-02-05T03:26:00.000,1.24516,1.24545,1.24499,1.24541,1.0,1.244636,1.24528,6.439999999998669E-4,0.3043478260870335,0.38405797101445194,0.5724637681160178,0.1086956521739865,0.12318840579710962,0.3260869565217986,0.13043478260875163,0.39855072463773594,0.7826086956521879,0.9710144927535929,
2018-02-05T03:28:00.000,1.24543,1.24553,1.24531,1.24545,1.0,1.244732,1.2454299999999998,6.979999999998654E-4,0.3630136986300776,0.5410958904109995,0.1027397260274608,0.11643835616438461,0.3082191780822303,0.12328767123292254,0.3767123287671535,0.7397260273972311,0.9178082191780009,0.9452054794520006,
2018-02-05T03:30:00.000,1.24544,1.24544,1.24503,1.24513,1.0,1.244785,1.24529,5.049999999999777E-4,0.5410958904109995,0.1027397260274608,0.11643835616438461,0.3082191780822303,0.12328767123292254,0.3767123287671535,0.7397260273972311,0.9178082191780009,0.9452054794520006,0.7260273972603073,
2018-02-05T03:32:00.000,1.24514,1.2456,1.24514,1.2456,1.0,1.244859,1.245365,5.060000000001175E-4,0.09803921568633427,0.1111111111111111,0.2941176470588577,0.1176470588235721,0.3594771241830321,0.7058823529411423,0.8758169934639669,0.9019607843136658,0.6928104575163655,1.0,
2018-02-05T03:34:00.000,1.24561,1.24577,1.24551,1.24551,1.0,1.244988,1.245555,5.669999999999842E-4,0.1,0.26470588235297193,0.10588235294121488,0.32352941176472894,0.6352941176470281,0.7882352941175702,0.8117647058822992,0.623529411764729,0.9,0.8470588235293273,
2018-02-05T03:36:00.000,1.2455,1.24606,1.24546,1.24575,1.0,1.245139,1.2456299999999998,4.909999999997972E-4,0.19371727748691586,0.05235602094240655,0.2460732984293224,0.5235602094240656,0.6596858638742993,0.6806282722512852,0.5130890052356307,0.7591623036649531,0.7120418848167058,0.8376963350785048,
2018-02-05T03:38:00.000,1.24575,1.24581,1.24552,1.24576,1.0,1.245263,1.245755,4.919999999999369E-4,0.05235602094240655,0.2460732984293224,0.5235602094240656,0.6596858638742993,0.6806282722512852,0.5130890052356307,0.7591623036649531,0.7120418848167058,0.8376963350785048,0.8429319371727804,
2018-02-05T03:40:00.000,1.24577,1.24582,1.24544,1.24544,1.0,1.245382,1.2456,2.1800000000005149E-4,0.24210526315795994,0.5210526315789683,0.6578947368420868,0.6789473684210551,0.5105263157895426,0.7578947368421569,0.710526315789449,0.836842105263142,0.8421052631579132,0.6736842105264007,
2018-02-05T03:42:00.000,1.24543,1.24567,1.24539,1.24561,0.0,1.245481,1.2455250000000002,4.4000000000155026E-5,0.38926174496646193,0.563758389261716,0.5906040268456356,0.37583892617457665,0.691275167785297,0.6308724832214405,0.7919463087248092,0.7986577181208264,0.5838926174497674,0.6979865771813141,
2018-02-05T03:44:00.000,1.24565,1.24592,1.24565,1.24587,1.0,1.245553,1.24574,1.8700000000015926E-4,0.39252336448589015,0.42990654205602435,0.1308411214953659,0.5700934579439757,0.48598130841112186,0.7102803738317195,0.7196261682243049,0.42056074766364643,0.5794392523365611,0.822429906542122,
2018-02-05T03:46:00.000,1.24588,1.24627,1.24585,1.246,1.0,1.245612,1.245935,3.2300000000007323E-4,0.3387096774192711,0.08064516129031969,0.45967741935484013,0.3870967741934271,0.5806451612902301,0.5887096774193159,0.3306451612903645,0.46774193548392584,0.6774193548387212,0.7822580645161189,
2018-02-05T03:48:00.000,1.246,1.2463,1.24594,1.2461,1.0,1.245677,1.2460499999999999,3.729999999999567E-4,0.07874015748031359,0.4488188976378049,0.3779527559054003,0.5669291338581879,0.5748031496062717,0.32283464566933817,0.45669291338588874,0.661417322834669,0.7637795275590592,0.8425196850393728,
2018-02-05T03:50:00.000,1.24612,1.24678,1.24606,1.24673,1.0,1.245837,1.2464149999999998,5.779999999997454E-4,0.28048780487811154,0.22560975609753786,0.3719512195121753,0.3780487804878247,0.18292682926839834,0.28658536585376093,0.4451219512195617,0.5243902439024621,0.5853658536585498,0.9695121951218885,
2018-02-05T03:52:00.000,1.24673,1.24673,1.24624,1.24635,1.0,1.245912,1.24654,6.280000000000729E-4,0.08633093525172501,0.2589928057553348,0.2661870503596984,0.03597122302165858,0.15827338129504218,0.3453237410072195,0.4388489208633082,0.5107913669064656,0.9640287769783414,0.690647482014439,
2018-02-05T03:54:00.000,1.24635,1.24644,1.24622,1.24628,1.0,1.245989,1.246315,3.260000000000485E-4,0.2589928057553348,0.2661870503596984,0.03597122302165858,0.15827338129504218,0.3453237410072195,0.4388489208633082,0.5107913669064656,0.9640287769783414,0.690647482014439,0.6402877697842129,
2018-02-05T03:56:00.000,1.2463,1.24651,1.24612,1.24622,1.0,1.2460360000000001,1.24625,2.1399999999993646E-4,0.2661870503596984,0.03597122302165858,0.15827338129504218,0.3453237410072195,0.4388489208633082,0.5107913669064656,0.9640287769783414,0.690647482014439,0.6402877697842129,0.5971223021583504,
2018-02-05T03:58:00.000,1.24622,1.24624,1.24599,1.24602,1.0,1.246062,1.24612,5.799999999989147E-5,0.03597122302165858,0.15827338129504218,0.3453237410072195,0.4388489208633082,0.5107913669064656,0.9640287769783414,0.690647482014439,0.6402877697842129,0.5971223021583504,0.4532374100718758,
2018-02-05T04:00:00.000,1.24605,1.24648,1.24595,1.24617,0.0,1.246135,1.246095,-4.0000000000040004E-5,0.15827338129504218,0.3453237410072195,0.4388489208633082,0.5107913669064656,0.9640287769783414,0.690647482014439,0.6402877697842129,0.5971223021583504,0.4532374100718758,0.5611510791366918,
2018-02-05T04:02:00.000,1.24618,1.24624,1.24578,1.24596,-1.0,1.24617,1.246065,-1.0500000000002174E-4,0.19469026548680912,0.30973451327437973,0.39823008849560304,0.9557522123892901,0.6194690265487595,0.5575221238938836,0.5044247787611889,0.32743362831854583,0.460176991150479,0.2743362831858511,
2018-02-05T04:04:00.000,1.24596,1.24598,1.24561,1.24576,-1.0,1.246159,1.24586,-2.990000000000492E-4,0.3333333333332701,0.4188034188033539,0.9572649572648632,0.6324786324786584,0.5726495726495807,0.5213675213675684,0.3504273504272109,0.4786324786324316,0.29914529914519855,0.12820512820503088,
2018-02-05T04:06:00.000,1.24575,1.24632,1.24571,1.24622,-1.0,1.246181,1.24599,-1.9100000000005224E-4,0.4188034188033539,0.9572649572648632,0.6324786324786584,0.5726495726495807,0.5213675213675684,0.3504273504272109,0.4786324786324316,0.29914529914519855,0.12820512820503088,0.5213675213675684,
2018-02-05T04:08:00.000,1.24624,1.24698,1.24624,1.24697,1.0,1.246268,1.2465950000000001,3.2700000000018825E-4,0.8175182481751044,0.5401459854014835,0.48905109489051923,0.44525547445259617,0.2992700729925824,0.4087591240875522,0.25547445255465934,0.1094890510948077,0.44525547445259617,0.9927007299269588,
